name,Source,Cite
GL2013-DR,Graeme T Lloyd,"Danilo, L., Remy, J. A., Vianey-Liaud, M., Marandat, B., Sudre, J. and Lihoreau, F., 2013. A new Eocene locality in southern France sheds light on the basal radiation of Palaeotheriidae (Mammalia, Perissodactyla, Equoidea). Journal of Vertebrate Paleontology, 33, 195-215."
GL2013-MN,Graeme T Lloyd,"Maridet, O. and Ni, X.-J., 2013. A new cricetid rodent from the early Oligocene of Yunnan, China, and its evolutionary implications for early Eurasian cricetids. Journal of Vertebrate Paleontology, 33, 185-194."
GL2013-RB,Graeme T Lloyd,"Rincon, A. F., Bloch, J. I., MacFadden, B. J. and Jaramillo, C. A., 2013. First Central American record of Anthracotheriidae (Mammalia, Bothriodontinae) from the early Miocene of Panama. Journal of Vertebrate Paleontology, 33, 421-433."
GL2015-SF,Graeme T Lloyd,"Spaulding, M. and Flynn, J. J., in press. Phylogeny of the Carnivoramorpha: The impact of postcranial characters. Journal of Systematic Palaeontology, , ."
GS2005-ZP,Google Scholar,"Williamson, Thomas E., and Anne Weil. ""A new Puercan (early Paleocene) hyopsodontid ÒcondylarthÓ from New Mexico."" Acta Palaeontologica Polonica 56.2 (2011): 247-255."
GS2006-SH,Google Scholar,"He, Kai, et al. ""Multilocus phylogeny of talpine moles (Talpini, Talpidae, Eulipotyphla) and its implications for systematics."" Molecular phylogenetics and evolution 70 (2014): 513-521."
GS2007-R,Google Scholar,"Calede, Jonathan Jean-Michel. ""Skeletal morphology of Palaeocastor peninsulatus (Rodentia, Castoridae) from the Fort Logan Formation of Montana (early Arikareean): Ontogenetic and paleoecological interpretations."" Journal of Mammalian Evolution 21.2 (2014): 223-241."
GS2007-S,Google Scholar,"Barrow, Eugenie C., Erik R. Seiffert, and Elwyn L. Simons. ""Cranial morphology of Thyrohyrax domorictus (Mammalia, Hyracoidea) from the early Oligocene of Egypt."" Journal of Vertebrate Paleontology 32.1 (2012): 166-179."
GS2008-BK,Google Scholar,"Gingerich, Philip D., et al. ""< i> Darwinius masillae</i> is a HaplorhineÑReply to."" Journal of Human Evolution 59.5 (2010): 574-579."
GS2008-KF,Google Scholar,"Rosenberger, Alfred L. ""Platyrrhines, PAUP, parallelism, and the Long Lineage Hypothesis: A reply to."" Journal of human evolution 59.2 (2010): 214-217."
GS2008-KF,Google Scholar,"Schrago, C. G., B. Mello, and A. E. R. Soares. ""Combining fossil and molecular data to date the diversification of New World Primates."" Journal of evolutionary biology 26.11 (2013): 2438-2446."
GS2010-AM,Google Scholar,"Asher, Robert J., et al. ""A phylogenetic estimate for golden moles (Mammalia, Afrotheria, Chrysochloridae)."" BMC evolutionary biology 10.1 (2010): 69."
GS2010-BL,Google Scholar,"BOISSERIE, JEAN_RENAUD, et al. ""Morphology and phylogenetic relationships of the earliest known hippopotamids (Cetartiodactyla, Hippopotamidae, Kenyapotaminae)."" Zoological Journal of the Linnean Society 158.2 (2010): 325-366."
GS2010-BS,Google Scholar,"Boyer, Doug M., Erik R. Seiffert, and Elwyn L. Simons. ""Astragalar morphology of Afradapis, a large adapiform primate from the earliest late Eocene of Egypt."" American journal of physical anthropology 143.3 (2010): 383-402."
GS2010-F,Google Scholar,"Fitzgerald, Erich MG. ""The morphology and systematics of Mammalodon colliveri (Cetacea: Mysticeti), a toothed mysticete from the Oligocene of Australia."" Zoological Journal of the Linnean Society 158.2 (2010): 367-476."
GS2010-FG,Google Scholar,"Fostowicz-Frelik, Lucja, Grzegorz J. Frelik, and Mih‡Ly Gasparik. ""Morphological phylogeny of pikas (Lagomorpha: Ochotona), with a description of a new species from the Pliocene/Pleistocene transition of Hungary."" Proceedings of the Academy of Natural Sciences of Philadelphia 159 (2010): 97-118."
GS2010-GV,Google Scholar,"Giarla, Thomas C., Robert S. Voss, and Sharon A. Jansa. ""Species limits and phylogenetic relationships in the didelphid marsupial genus Thylamys based on mitochondrial DNA sequences and morphology.""ÊBulletin of the American Museum of Natural HistoryÊ(2010): 1-67."
GS2010-OA,Google Scholar,"Orliac, Maeva J., Antoine Pierre_Olivier, and Stephane Ducrocq. ""Phylogenetic relationships of the Suidae (Mammalia, Cetartiodactyla): new insights on the relationships within Suoidea."" Zoologica Scripta 39.4 (2010): 315-330."
GS2010-OB,Google Scholar,"Orliac, Maeva, et al. ""Early Miocene hippopotamids (Cetartiodactyla) constrain the phylogenetic and spatiotemporal settings of hippopotamid origin."" Proceedings of the National Academy of Sciences 107.26 (2010): 11871-11876."
GS2010-PR,Google Scholar,"Perini, Fernando A., C. A. M. Russo, and Carlos G. Schrago. ""The evolution of South American endemic canids: a history of rapid diversification and morphological parallelism.""ÊJournal of evolutionary biologyÊ23.2 (2010): 311-322."
GS2010-SaS,Google Scholar,"Sallam, Hesham M., et al. ""A large-bodied anomaluroid rodent from the earliest late Eocene of Egypt: phylogenetic and biogeographic implications."" Journal of Vertebrate Paleontology 30.5 (2010): 1579-1593."
GS2010-SJ,Google Scholar,"St_§el, Alexander, Anne Junold, and Martin S. Fischer. ""The morphology of the eutherian ethmoidal region and its implications for higher_order phylogeny."" Journal of Zoological Systematics and Evolutionary Research 48.2 (2010): 167-180."
GS2010-SS,Google Scholar,"Sallam, Hesham M., Erik R. Seiffert, and Elwyn L. Simons. ""A highly derived anomalurid rodent (Mammalia) from the earliest late Eocene of Egypt."" Palaeontology 53.4 (2010): 803-813."
GS2010-SZ,Google Scholar,"Schunke, ANJA C., and Ulrich Zeller. ""Chondrocranium and dermal bones of the lowland streaked tenrec Hemicentetes semispinosus (Afrosoricida, Tenrecidae) and their comparison with Potamogale and other insectivoran-grade placental mammals."" Vert Zool 60 (2010): 37-72."
GS2010-VJD,Google Scholar,"Velez-Juarbe, Jorge, Daryl P. Domning, and Nicholas D. Pyenson. ""Iterative evolution of sympatric seacow (Dugongidae, Sirenia) assemblages during the past_ 26 million years."" PloS one 7.2 (2012): e31294."
GS2011-BH,Google Scholar,"Billet, Guillaume, et al. ""Oldest cingulate skulls provide congruence between morphological and molecular scenarios of armadillo evolution."" Proceedings of the Royal Society B: Biological Sciences 278.1719 (2011): 2791-2797."
GS2011-BK,Google Scholar,"Bond, Mariano, et al. ""A new astrapothere (Mammalia, Meridiungulata) from La Meseta Formation, Seymour (Marambio) Island, and a reassessment of previous records of Antarctic astrapotheres.""ÊAmerican Museum NovitatesÊ3718 (2011): 1-16."
GS2011-D,Google Scholar,"Dong, W. ""Reconsideration of the systematics of the Early Pleistocene Cervavitus (Cervidae, Artiodactyla, Mammalia)."" Est Geol 67 (2011): 603-611."
GS2011-FD,Google Scholar,"Ferretti, Marco P., and Regis Debruyne. ""Anatomy and phylogenetic value of the mandibular and coronoid canals and their associated foramina in proboscideans (Mammalia)."" Zoological Journal of the Linnean Society 161.2 (2011): 391-413."
GS2011-FOS,Google Scholar,"Fracasso, Maria Paula Aguiar, Leandro de Oliveira Salles, and Fernando Araœjo Perini. ""Upper molar morphology and relationships among higher taxa in bats."" Journal of Mammalogy 92.2 (2011): 421-432."
GS2011-GeS,Google Scholar,"Gelfo, Javier N., and Bernard Sig_. ""A new didolodontid mammal from the late Paleocene-earliest Eocene of Laguna Umayo, Peru.""ÊActa Palaeontologica PolonicaÊ56.4 (2011): 665-678."
GS2011-GiS,Google Scholar,"Gilbert, Christopher C., et al. ""Morphological systematics of the kipunji (< i> Rungwecebus kipunji</i>) and the ontogenetic development of phylogenetically informative characters in the Papionini."" Journal of human evolution 60.6 (2011): 731-745."
GS2011-GP,Google Scholar,"Goswami, Anjali, et al. ""A radiation of arboreal basal eutherian mammals beginning in the Late Cretaceous of India."" Proceedings of the National Academy of Sciences 108.39 (2011): 16333-16338."
GS2011-HM,Google Scholar,"Hugueney, Marguerite, and Olivier Maridet. ""Early Miocene soricids (Insectivora, Mammalia) from Limagne (Central France): New systematic comparisons, updated biostratigraphic data and evolutionary implications."" Geobios 44.2 (2011): 225-236."
GS2011-JB,Google Scholar,"Johnston, Cassie, and Annalisa Berta. ""Comparative anatomy and evolutionary history of suction feeding in cetaceans."" Marine Mammal Science 27.3 (2011): 493-513."
GS2011-OD,Google Scholar,"Orliac, M. J., and S. Ducrocq. ""Eocene raoellids (Mammalia, Cetartiodactyla) outside the Indian Subcontinent: palaeogeographical implications."" Geological Magazine 149.01 (2012): 80-92."
GS2011-OG,Google Scholar,"Oliveira, Edison V., and FRANCISCO J. Goin. ""A reassessment of bunodont metatherians from the Paleogene of Itabora’ (Brazil): systematics and age of the Itaboraian SALMA.""ÊRevista Brasileira de PaleontologiaÊ14.2 (2011): 105-136."
GS2011-ON,Google Scholar,"Oliveira, Edison Vicente, et al. ""A new hyladelphine marsupial (Didelphimorphia, Didelphidae) from cave deposits of northern Brazil."" Zootaxa 3041 (2011): 51-62."
GS2011-PV,Google Scholar,"P_rez, Mar’a Encarnaci—n, and Mar’a Guiomar Vucetich. ""A new extinct genus of Cavioidea (Rodentia, Hystricognathi) from the Miocene of Patagonia (Argentina) and the evolution of cavioid mandibular morphology."" Journal of Mammalian Evolution 18.3 (2011): 163-183."
GS2011-PW,Google Scholar,"Percequillo, Alexandre R., Marcelo Weksler, and Leonora P. Costa. ""A new genus and species of rodent from the Brazilian Atlantic Forest (Rodentia: Cricetidae: Sigmodontinae: Oryzomyini), with comments on oryzomyine biogeography."" Zoological Journal of the Linnean Society 161.2 (2011): 357-390."
GS2011-RR,Google Scholar,"Robinson, Terence J., and Anne Ropiquet. ""Examination of hemiplasy, homoplasy and phylogenetic discordance in chromosomal evolution of the Bovidae."" Systematic biology (2011): syr045."
GS2011-T,Google Scholar,"Tomiya, Susumu. ""A new basal caniform (Mammalia: Carnivora) from the middle Eocene of North America and remarks on the phylogeny of early carnivorans.""ÊPLoS oneÊ6.9 (2011): e24146."
GS2012-A,Google Scholar,"Ahrens, Heather E. ""Craniodental characters and the relationships of Procyonidae (Mammalia: Carnivora).""ÊZoological Journal of the Linnean Society164.3 (2012): 669-713."
GS2012-BF,Google Scholar,"Bibi, Faysal, E. Vrba, and F. Fack. ""A new African fossil caprin and a combined molecular and morphological bayesian phylogenetic analysis of caprini (Mammalia: Bovidae)."" Journal of evolutionary biology 25.9 (2012): 1843-1854."
GS2012-BG,Google Scholar,"Babot, Judith, Daniel A. Garc’a L—pez, and Timothy J. Gaudin. ""The most ancient xenarthran petrosal: morphology and evolutionary significance.""ÊJournal of Vertebrate PaleontologyÊ32.5 (2012): 1186-1197."
GS2012-CM,Google Scholar,"Alberdi, Mar’a Teresa, et al. ""Reply to: A critical appraisal of the phylogenetic proposals for the South American Gomphotheriidae (Proboscidea: Mammalia) by MA Cozzuol, D. Moth_ and LS Avilla."" Quaternary International 253 (2012): 104-106."
GS2012-CM,Google Scholar,"Cozzuol, Mario A., Dimila Moth_, and Leonardo S. Avilla. ""A critical appraisal of the phylogenetic proposals for the South American Gomphotheriidae (Proboscidea: Mammalia)."" Quaternary International 255 (2012): 36-41."
GS2012-GM,Google Scholar,"Groh_, Camille, et al. ""New Apterodontinae (Hyaenodontida) from the Eocene Locality of Dur At-Talah (Libya): Systematic, Paleoecological and Phylogenetical Implications."" PloS one 7.11 (2012): e49054."
GS2012-HC,Google Scholar,"He, Kai, et al. ""An estimation of erinaceidae phylogeny: A combined analysis approach."" PloS one 7.6 (2012): e39304."
GS2012-HR,Google Scholar,"Hooker, Jerry J., and Donald E. Russell. ""Early Palaeogene Louisinidae (Macroscelidea, Mammalia), their relationships and north European diversity."" Zoological Journal of the Linnean Society 164.4 (2012): 856-936."
GS2012-KA,Google Scholar,"Kondrashov, Peter, and Alexandre K. Agadjanian. ""A nearly complete skeleton of Ernanodon (Mammalia, Palaeanodonta) from Mongolia: morphofunctional analysis.""ÊJournal of Vertebrate PaleontologyÊ32.5 (2012): 983-1001."
GS2012-KK,Google Scholar,"Kostopoulos, Dimitris S., George D. Koufos, and Kimon Christanis. ""On some anthracotheriid (Artiodactyla, Mammalia) remains from northern Greece: comments on the palaeozoogeography and phylogeny of Elomeryx."" Swiss Journal of Palaeontology 131.2 (2012): 303-315."
GS2012-MB,Google Scholar,"Maiolino, Stephanie, et al. ""Evidence for a grooming claw in a North American adapiform primate: implications for anthropoid origins."" PloS one 7.1 (2012): e29135."
GS2012-MG,Google Scholar,"M_tais, Gr_goire, Emmanuel Gheerbrant, and Sevket Sen. ""Re-interpretation of the genus Parabunodon (Ypresian, Turkey): implications for the evolution and distribution of pleuraspidotheriid mammals."" Palaeobiodiversity and Palaeoenvironments 92.4 (2012): 477-486."
GS2012-MRG,Google Scholar,"Medina-Romero, Margarita, Irene Goyenechea, and Jesœs Castillo-Cer—n. ""Phylogenetic measures applied to the conservation of Mexican marsupials.""Revista Mexicana de BiodiversidadÊ83.4 (2012): 1215-1226."
GS2012-PS,Google Scholar,"Patel, Biren A., et al. ""New primate first metatarsals from the Paleogene of Egypt and the origin of the anthropoid big toe."" Journal of human evolution 63.1 (2012): 99-120."
GS2012-PT,Google Scholar,"Prideaux, Gavin J., and Richard H. Tedford. ""Tjukuru wellsi, gen. et sp. nov., a lagostrophine kangaroo (Diprotodontia, Macropodidae) from the Pliocene (Tirarian) of northern South Australia.""ÊJournal of Vertebrate PaleontologyÊ32.3 (2012): 717-721."
GS2012-RW,Google Scholar,"Rougier, Guillermo W., et al. ""The Miocene mammal Necrolestes demonstrates the survival of a Mesozoic nontherian lineage into the late Cenozoic of South America."" Proceedings of the National Academy of Sciences 109.49 (2012): 20053-20058."
GS2012-SF,Google Scholar,"Shockey, Bruce J., et al. ""New leontiniid Notoungulata (Mammalia) from Chile and Argentina: comparative anatomy, character analysis, and phylogenetic hypotheses.""ÊAmerican Museum NovitatesÊ3737 (2012): 1-64."
GS2012-SM,Google Scholar,"Schwermann, Achim H., and Thomas Martin. ""A partial skeleton of Geotrypus antiquus (Talpidae, Mammalia) from the Late Oligocene of the Enspel Fossillagerst_tte in Germany."" Pal_ontologische Zeitschrift 86.4 (2012): 409-439."
GS2012-SR,Google Scholar,"Sakamoto, Manabu, and Marcello Ruta. ""Convergence and divergence in the evolution of cat skulls: temporal and spatial patterns of morphological diversity."" PloS one 7.7 (2012): e39752."
GS2012-WB,Google Scholar,"Williamson, Thomas E., et al. ""The phylogeny and evolution of Cretaceous_Palaeogene metatherians: cladistic analysis and description of new early Palaeocene specimens from the Nacimiento Formation, New Mexico."" Journal of Systematic Palaeontology 10.4 (2012): 625-651."
GS2012-WG,Google Scholar,"Wills, M. A., et al. ""The disparity of priapulid, archaeopriapulid and palaeoscolecid worms in the light of new data."" Journal of evolutionary biology 25.10 (2012): 2056-2076."
GS2013-A,Google Scholar,"Abello, Maria Alejandra. ""Analysis of dental homologies and phylogeny of Paucituberculata (Mammalia: Marsupialia).""ÊBiological Journal of the Linnean SocietyÊ109.2 (2013): 441-465."
GS2013-B,Google Scholar,"Burger, Benjamin John. ""A new species of the archaic primate Zanycteris from the late Paleocene of western Colorado and the phylogenetic position of the family Picrodontidae."" PeerJ 1 (2013): e191."
GS2013-BA,Google Scholar,"Becker, Damien, Pierre-Olivier Antoine, and Olivier Maridet. ""A new genus of Rhinocerotidae (Mammalia, Perissodactyla) from the Oligocene of Europe.""Journal of systematic palaeontologyÊ11.8 (2013): 947-972."
GS2013-BC,Google Scholar,"Benoit, Julien, et al. ""A Memory Already like an Elephant's? The Advanced Brain Morphology of the Last Common Ancestor of Afrotheria (Mammalia)."" Brain, behavior and evolution 81.3 (2013): 154-169."
GS2013-BM,Google Scholar,"Benoit, Julien, Samuel Merigeaud, and Rodolphe Tabuce. ""Homoplasy in the ear region of Tethytheria and the systematic position of Embrithopoda (Mammalia, Afrotheria)."" Geobios 46.5 (2013): 357-370."
GS2013-BO,Google Scholar,"Benoit, Julien, Maeva Orliac, and Rodolphe Tabuce. ""The petrosal of the earliest elephant-shrew Chambius (Macroscelidea: Afrotheria) from the Eocene of Djebel Chambi (Tunisia) and the evolution of middle and inner ear of elephant-shrews."" Journal of Systematic Palaeontology 11.8 (2013): 907-923."
GS2013-C,Google Scholar,"Christiansen, Per. ""Phylogeny of the sabertoothed felids (Carnivora: Felidae: Machairodontinae).""ÊCladisticsÊ29.5 (2013): 543-559."
GS2013-CB,Google Scholar,"Coster, Pauline, et al. ""Uniquely derived upper molar morphology of Eocene Amphipithecidae (Primates: Anthropoidea): Homology and phylogeny."" Journal of human evolution 65.2 (2013): 143-155."
GS2013-CE,Google Scholar,"Carter, Anthony Michael, et al. ""A new form of rodent placentation in the relict species,< i> Laonastes aenigmamus</i>(Rodentia: Diatomyidae)."" Placenta 34.7 (2013): 548-558."
GS2013-DB,Google Scholar,"De Bast, Eric, and Thierry Smith. ""Reassessment of the Small ÔArctocyonidÕProlatidens waudruae from the Early Paleocene of Belgium, and Its Phylogenetic Relationships with Ungulate-Like Mammals."" Journal of Vertebrate Paleontology 33.4 (2013): 964-976."
GS2013-FC,Google Scholar,"Fahlke, Julia M., Margery C. Coombs, and Gina M. Semprebon. ""Anisodon sp.(Mammalia, Perissodactyla, Chalicotheriidae) from the Turolian of Dorn-DŸrkheim 1 (Rheinhessen, Germany): morphology, phylogeny, and palaeoecology of the latest chalicothere in Central Europe."" Palaeobiodiversity and Palaeoenvironments 93.2 (2013): 151-170."
GS2013-FM,Google Scholar,"Fostowicz-Frelik, _ucja, and Jin Meng. ""Comparative Morphology of Premolar Foramen in Lagomorphs (Mammalia: Glires) and Its Functional and Phylogenetic Implications."" PloS one 8.11 (2013): e79794."
GS2013-H,Google Scholar,"Hooker, Jerry J. ""Origin and evolution of the Pseudorhyncocyonidae, a European Paleogene family of insectivorous placental mammals.""PalaeontologyÊ56.4 (2013): 807-835."
GS2013-HF,Google Scholar,"Holanda, Elizete Celestino, and Brenda Soledad Ferrero. ""Reappraisal of the Genus Tapirus (Perissodactyla, Tapiridae): Systematics and Phylogenetic Affinities of the South American Tapirs."" Journal of Mammalian Evolution 20.1 (2013): 33-44."
GS2013-L,Google Scholar,"Lee, Michael Soon Yoong. ""Turtle origins: insights from phylogenetic retrofitting and molecular scaffolds."" Journal of evolutionary biology 26.12 (2013): 2729-2738."
GS2013-M,Google Scholar,"Mazza, Paul Peter Anthony. ""The systematic position of Hoplitomerycidae (Ruminantia) revisited."" Geobios 46.1 (2013): 33-42."
GS2013-MF,Google Scholar,"Macrini, Thomas E., et al. ""Comparative study of notoungulate (Placentalia, Mammalia) bony labyrinths and new phylogenetically informative inner ear characters."" Journal of anatomy 223.5 (2013): 442-461."
GS2013-OBP,Google Scholar,"Ojala-Barbour, Reed, et al. ""A new species of shrew-opossum (Paucituberculata: Caenolestidae) with a phylogeny of extant caenolestids.""Journal of MammalogyÊ94.5 (2013): 967-982."
GS2013-OjBP,Google Scholar,"Reed Ojala, Barbour, et al. ""A new species of Shrew-opossum (Paucituberculata: Caenolestidae) with a phylogeny of extant Caenolestids."" (2013)."
GS2013-RB,Google Scholar,"Ruta, Marcello, et al. ""The radiation of cynodonts and the ground plan of mammalian morphological diversity."" Proceedings of the Royal Society B: Biological Sciences 280.1769 (2013): 20131865."
GS2013-S,Google Scholar,"Scherer, Carolina Saldanha. ""The Camelidae (Mammalia, Artiodactyla) from the Quaternary of South America: cladistic and biogeographic hypotheses."" Journal of Mammalian Evolution 20.1 (2013): 45-56."
GS2013-S,Google Scholar,"Slater, Graham J. ""Phylogenetic evidence for a shift in the mode of mammalian body size evolution at the Cretaceous_Palaeogene boundary."" Methods in Ecology and Evolution 4.8 (2013): 734-744."
GS2013-SS,Google Scholar,"Stevens, Nancy J., et al. ""Palaeontological evidence for an Oligocene divergence between Old World monkeys and apes."" Nature 497.7451 (2013): 611-614."
GS2013-TB,Google Scholar,"Travouillon, K. J., et al. ""The oldest fossil record of bandicoots (Marsupialia; Peramelemorphia) from the late Oligocene of Australia.""ÊPalaeontologia ElectronicaÊ16.2 (2013)."
GS2013-TG,Google Scholar,"Travouillon, K. J., et al. ""The genus Galadi: three new bandicoots (Marsupialia, Peramelemorphia) from RiversleighÕs Miocene deposits, northwestern Queensland, Australia.""ÊJournal of Vertebrate PaleontologyÊ33.1 (2013): 153-168."
GS2013-WH,Google Scholar,"Wallace, Steven C., and Richard C. Hulbert Jr. ""A New Machairodont from the Palmetto Fauna (Early Pliocene) of Florida, with Comments on the Origin of the Smilodontini (Mammalia, Carnivora, Felidae).""ÊPloS oneÊ8.3 (2013): e56173."
GS2013-ZR,Google Scholar,"Zurita, Alfredo E., et al. ""The most complete known Neogene Glyptodontidae (Mammalia, Xenarthra, Cingulata) from northern South America: taxonomic, paleobiogeographic, and phylogenetic implications."" Journal of Vertebrate Paleontology 33.3 (2013): 696-708."
GS2013-ZT,Google Scholar,"Zurita, Alfredo E., et al. ""A new species of Neosclerocalyptus Paula Couto (Mammalia: Xenarthra: Cingulata): the oldest record of the genus and morphological and phylogenetic aspects."" Zootaxa 3721.4 (2013): 387-398."
GS2014-AB,Google Scholar,"Antoine, Pierre-Olivier, et al. ""A New Carodnia Simpson, 1935 (Mammalia, Xenungulata) from the Early Eocene of Northwestern Peru and a Phylogeny of Xenungulates at Species Level."" Journal of Mammalian Evolution (2014): 1-12."
GS2014-BL,Google Scholar,"Beck, Robin MD, and Michael SY Lee. ""Ancient dates or accelerated rates? Morphological clocks and the antiquity of placental mammals."" Proceedings of the Royal Society B: Biological Sciences 281.1793 (2014): 20141278."
GS2014-BT,Google Scholar,"Bates, H., et al. ""Three new Miocene species of musky rat-kangaroos (Hypsiprymnodontidae, Macropodoidea): description, phylogenetics and paleoecology.""ÊJournal of Vertebrate PaleontologyÊ34.2 (2014): 383-396."
GS2014-BT,Google Scholar,"Benoit, Julien, et al. ""Petrosal and Bony Labyrinth Morphology Supports Paraphyly of Elephantulus Within Macroscelididae (Mammalia, Afrotheria)."" Journal of Mammalian Evolution 21.2 (2014): 173-193."
GS2014-BW,Google Scholar,"Bai, Bin, et al. ""New Early Eocene Basal tapiromorph from Southern China and Its Phylogenetic Implications.""ÊPloS oneÊ9.10 (2014): e110806."
GS2014-CB,Google Scholar,"Churchill, Morgan, Robert W. Boessenecker, and Mark T. Clementz. ""Colonization of the Southern Hemisphere by fur seals and sea lions (Carnivora: Otariidae) revealed by combined evidence phylogenetic and Bayesian biogeographical analysis.""ÊZoological Journal of the Linnean Society172.1 (2014): 200-225."
GS2014-CC,Google Scholar,"Castro, Mariela C., et al. ""A new Dasypodini armadillo (Xenarthra: Cingulata) from San Gregorio Formation, Pliocene of Venezuela: affinities and biogeographic interpretations."" Naturwissenschaften 101.2 (2014): 77-86."
GS2014-CS,Google Scholar,"Cooper, Lisa Noelle, et al. ""Anthracobunids from the Middle Eocene of India and Pakistan Are Stem Perissodactyls."" PloS one 9.10 (2014): e109232."
